VectorData,Payload
Título: Introducción a la Inteligencia Artificial. Autor: Pedro Gómez. Año: 2018. Género: Tecnología. Resumen: Este libro ofrece una visión general sobre los principios y aplicaciones de la inteligencia artificial.,"{""text"": ""T\u00edtulo: Introducci\u00f3n a la Inteligencia Artificial. Autor: Pedro G\u00f3mez. A\u00f1o: 2018. G\u00e9nero: Tecnolog\u00eda. Resumen: Este libro ofrece una visi\u00f3n general sobre los principios y aplicaciones de la inteligencia artificial."", ""year"": 2018, ""chunk"": ""Libros""}"
Título: Cocina Mediterránea para Principiantes. Autor: María Fernández. Año: 2020. Género: Cocina. Resumen: Una guía práctica para preparar recetas mediterráneas saludables y deliciosas.,"{""text"": ""T\u00edtulo: Cocina Mediterr\u00e1nea para Principiantes. Autor: Mar\u00eda Fern\u00e1ndez. A\u00f1o: 2020. G\u00e9nero: Cocina. Resumen: Una gu\u00eda pr\u00e1ctica para preparar recetas mediterr\u00e1neas saludables y deliciosas."", ""year"": 2020, ""chunk"": ""Libros""}"
Título: La Historia del Arte Moderno. Autor: Laura Pérez. Año: 2015. Género: Arte. Resumen: Un recorrido por los movimientos artísticos más importantes desde el siglo XIX hasta la actualidad.,"{""text"": ""T\u00edtulo: La Historia del Arte Moderno. Autor: Laura P\u00e9rez. A\u00f1o: 2015. G\u00e9nero: Arte. Resumen: Un recorrido por los movimientos art\u00edsticos m\u00e1s importantes desde el siglo XIX hasta la actualidad."", ""year"": 2015, ""chunk"": ""Libros""}"
Título: La Red Social. Director: David Fincher. Año: 2010. Género: Drama/Biografía. Resumen: La historia de la creación de Facebook y los conflictos personales y legales que surgieron.,"{""text"": ""T\u00edtulo: La Red Social. Director: David Fincher. A\u00f1o: 2010. G\u00e9nero: Drama/Biograf\u00eda. Resumen: La historia de la creaci\u00f3n de Facebook y los conflictos personales y legales que surgieron."", ""year"": 2010, ""chunk"": ""Peliculas""}"
Título: El Origen. Director: Christopher Nolan. Año: 2010. Género: Ciencia Ficción/Thriller. Resumen: Un ladrón que roba secretos corporativos mediante el uso de la tecnología de sueño compartido es dado la tarea inversa de plantar una idea en la mente de un CEO.,"{""text"": ""T\u00edtulo: El Origen. Director: Christopher Nolan. A\u00f1o: 2010. G\u00e9nero: Ciencia Ficci\u00f3n/Thriller. Resumen: Un ladr\u00f3n que roba secretos corporativos mediante el uso de la tecnolog\u00eda de sue\u00f1o compartido es dado la tarea inversa de plantar una idea en la mente de un CEO."", ""year"": 2010, ""chunk"": ""Peliculas""}"
"Título: Coco. Directores: Lee Unkrich, Adrian Molina. Año: 2017. Género: Animación/Familiar. Resumen: Un joven músico aspira a seguir los pasos de su ídolo y descubre el misterio detrás de su familia durante el Día de los Muertos.","{""text"": ""T\u00edtulo: Coco. Directores: Lee Unkrich, Adrian Molina. A\u00f1o: 2017. G\u00e9nero: Animaci\u00f3n/Familiar. Resumen: Un joven m\u00fasico aspira a seguir los pasos de su \u00eddolo y descubre el misterio detr\u00e1s de su familia durante el D\u00eda de los Muertos."", ""year"": 2017, ""chunk"": ""Libros""}"
"Título: El impacto de la IA en la medicina. Autores: Ana López, Carlos Ruiz. Año: 2021. Resumen: Un estudio sobre cómo las tecnologías de inteligencia artificial están revolucionando el diagnóstico y tratamiento de enfermedades.","{""text"": ""T\u00edtulo: El impacto de la IA en la medicina. Autores: Ana L\u00f3pez, Carlos Ruiz. A\u00f1o: 2021. Resumen: Un estudio sobre c\u00f3mo las tecnolog\u00edas de inteligencia artificial est\u00e1n revolucionando el diagn\u00f3stico y tratamiento de enfermedades."", ""year"": 2021, ""chunk"": ""Libros""}"
"Título: El cambio climático y sus efectos en la biodiversidad. Autores: Luis Martínez, Sofía Torres. Año: 2019. Resumen: Este artículo analiza cómo el cambio climático está afectando a los diferentes ecosistemas y las especies que los habitan.","{""text"": ""T\u00edtulo: El cambio clim\u00e1tico y sus efectos en la biodiversidad. Autores: Luis Mart\u00ednez, Sof\u00eda Torres. A\u00f1o: 2019. Resumen: Este art\u00edculo analiza c\u00f3mo el cambio clim\u00e1tico est\u00e1 afectando a los diferentes ecosistemas y las especies que los habitan."", ""year"": 2019, ""chunk"": ""Libros""}"
"Título: Nuevas tendencias en la educación online. Autores: Elena García, Roberto Hernández. Año: 2020. Resumen: Una revisión de las tecnologías emergentes y métodos pedagógicos en la educación en línea.","{""text"": ""T\u00edtulo: Nuevas tendencias en la educaci\u00f3n online. Autores: Elena Garc\u00eda, Roberto Hern\u00e1ndez. A\u00f1o: 2020. Resumen: Una revisi\u00f3n de las tecnolog\u00edas emergentes y m\u00e9todos pedag\u00f3gicos en la educaci\u00f3n en l\u00ednea."", ""year"": 2020, ""chunk"": ""Libros""}"
"Título: Paella Valenciana. Ingredientes: Arroz, Pollo, Conejo, Judías verdes, Garrofó, Tomate, Aceite de oliva, Sal, Azafrán. Tiempo de Preparación: 1 hora y 30 minutos. Descripción: Tradicional receta española de la región de Valencia, perfecta para reuniones familiares.","{""text"": ""T\u00edtulo: Paella Valenciana. Ingredientes: Arroz, Pollo, Conejo, Jud\u00edas verdes, Garrof\u00f3, Tomate, Aceite de oliva, Sal, Azafr\u00e1n. Tiempo de Preparaci\u00f3n: 1 hora y 30 minutos. Descripci\u00f3n: Tradicional receta espa\u00f1ola de la regi\u00f3n de Valencia, perfecta para reuniones familiares."", ""year"": 2024, ""chunk"": ""Receta""}"
